date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink
2022-12-31,PEP,USD,0000077476,2023-02-09,2023-02-08 18:06:37,2022,FY,86392000000,40576000000,45816000000,0.5303268821,0,0,0,34459000000,0,34459000000,75035000000,0,939000000,3257000000,14769000000,0.170953329,11512000000,0.133253079,-807000000,10705000000,0.1239119363,1727000000,8910000000,0.1031345495,6.45,6.42,1380000000,1387000000,https://www.sec.gov/Archives/edgar/data/77476/000007747623000007/0000077476-23-000007-index.htm,https://www.sec.gov/Archives/edgar/data/77476/000007747623000007/pep-20221231.htm
2021-12-25,PEP,USD,0000077476,2022-02-10,2022-02-09 18:03:39,2021,FY,79474000000,37075000000,42399000000,0.5334952311,0,0,0,31237000000,0,31237000000,68312000000,0,1863000000,3737000000,14899000000,0.187470116,11162000000,0.1404484485,-1341000000,9821000000,0.1235750057,2142000000,7618000000,0.0958552483,5.51,5.49,1383000000,1389000000,https://www.sec.gov/Archives/edgar/data/77476/000007747622000010/0000077476-22-000010-index.htm,https://www.sec.gov/Archives/edgar/data/77476/000007747622000010/pep-20211225.htm
2020-12-26,PEP,USD,0000077476,2021-02-11,2021-02-10 17:41:49,2020,FY,70372000000,31797000000,38575000000,0.5481583584,0,0,0,28495000000,0,28495000000,60292000000,0,1128000000,2665000000,12745000000,0.1811089638,10080000000,0.1432387882,-1011000000,9069000000,0.1288722787,1894000000,7120000000,0.1011766043,5.16,5.12,1380000000,1392000000,https://www.sec.gov/Archives/edgar/data/77476/000007747621000007/0000077476-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/77476/000007747621000007/pep-20201226.htm
2019-12-28,PEP,USD,0000077476,2020-02-13,2020-02-13 06:09:23,2019,FY,67161000000,30132000000,37029000000,0.5513467637,0,0,0,26738000000,0,26738000000,56870000000,200000000,1135000000,2588000000,12879000000,0.1917630768,10291000000,0.1532288084,-979000000,9312000000,0.1386518962,1959000000,7314000000,0.1089024881,5.26,5.2,1391000000,1407000000,https://www.sec.gov/Archives/edgar/data/77476/000007747620000015/0000077476-20-000015-index.htm,https://www.sec.gov/Archives/edgar/data/77476/000007747620000015/pepsico201910-k.htm
2018-12-29,PEP,USD,0000077476,2019-02-15,2019-02-15 16:23:02,2018,FY,64661000000,29378000000,35283000000,0.5456612177,680000000,24137000000,1033000000,25170000000,-677000000,25173000000,54551000000,306000000,1525000000,2959000000,13069000000,0.2021156493,10110000000,0.1563539073,-921000000,9189000000,0.1421103911,-3370000000,12515000000,0.1935478882,8.84,8.78,1415000000,1425000000,https://www.sec.gov/Archives/edgar/data/77476/000007747619000017/0000077476-19-000017-index.htm,https://www.sec.gov/Archives/edgar/data/77476/000007747619000017/pepsico201810-k.htm
2017-12-30,PEP,USD,0000077476,2018-02-13,2018-02-13 16:32:31,2017,FY,63525000000,28796000000,34729000000,0.5466981503,737000000,23502000000,729000000,24231000000,-515000000,24453000000,53249000000,244000000,1151000000,2562000000,13071000000,0.2057615112,10509000000,0.1654309327,-907000000,9602000000,0.1511530893,4694000000,4857000000,0.0764580874,3.42,3.38,1420000000,1438000000,https://www.sec.gov/Archives/edgar/data/77476/000007747618000012/0000077476-18-000012-index.htm,https://www.sec.gov/Archives/edgar/data/77476/000007747618000012/pepsico201710-k.htm
2016-12-31,PEP,USD,0000077476,2017-02-15,2017-02-15 16:35:15,2016,FY,62799000000,28209000000,34590000000,0.5508049491,0,24735000000,0,24735000000,70000000,24805000000,53014000000,110000000,1342000000,2428000000,12213000000,0.1944776191,9785000000,0.155814583,-1232000000,8553000000,0.1361964362,2174000000,6329000000,0.1007818596,4.43,4.36,1428000000,1452000000,https://www.sec.gov/Archives/edgar/data/77476/000007747617000010/0000077476-17-000010-index.htm,https://www.sec.gov/Archives/edgar/data/77476/000007747617000010/pepsico201610-k.htm
2015-12-26,PEP,USD,0000077476,2016-02-11,2016-02-11 16:40:10,2015,FY,63056000000,28731000000,34325000000,0.5443573966,754000000,23568000000,1317000000,24885000000,333000000,25972000000,54703000000,59000000,970000000,2426000000,10779000000,0.1709432885,8353000000,0.1324695509,-911000000,7442000000,0.1180220756,1941000000,5452000000,0.0864628267,3.77,3.67,1448000000,1485000000,https://www.sec.gov/Archives/edgar/data/77476/000007747616000066/0000077476-16-000066-index.htm,https://www.sec.gov/Archives/edgar/data/77476/000007747616000066/pepsico201510-k.htm
2014-12-27,PEP,USD,0000077476,2015-02-12,2015-02-12 17:01:46,2014,FY,66683000000,31238000000,35445000000,0.5315447715,718000000,24636000000,1490000000,26126000000,-980000000,25864000000,57102000000,85000000,909000000,2665000000,12246000000,0.183645007,9581000000,0.1436797984,-824000000,8757000000,0.1313228259,2199000000,6513000000,0.0976710706,4.38,4.27,1488000000,1527000000,https://www.sec.gov/Archives/edgar/data/77476/000007747615000012/0000077476-15-000012-index.htm,https://www.sec.gov/Archives/edgar/data/77476/000007747615000012/pepsico201410-k.htm
2013-12-28,PEP,USD,0000077476,2014-02-14,2014-02-14 16:26:07,2013,FY,66415000000,31075000000,35340000000,0.5321087104,665000000,24417000000,940000000,25357000000,-387000000,25635000000,56710000000,97000000,911000000,2713000000,12418000000,0.1869758338,9705000000,0.146126628,-814000000,8891000000,0.1338703606,2104000000,6740000000,0.1014830987,4.41,4.32,1529000000,1560000000,https://www.sec.gov/Archives/edgar/data/77476/000007747614000007/0000077476-14-000007-index.htm,https://www.sec.gov/Archives/edgar/data/77476/000007747614000007/pepsico201310-k.htm
2012-12-29,PEP,USD,0000077476,2013-02-21,2013-02-21 16:46:15,2012,FY,65492000000,31291000000,34201000000,0.5222164539,0,24675000000,295000000,24970000000,119000000,25089000000,56380000000,91000000,899000000,2744000000,11856000000,0.1810297441,9112000000,0.139131497,-808000000,8304000000,0.1267941123,2090000000,6178000000,0.0943321322,4.0,3.92,1544000000,1575000000,https://www.sec.gov/Archives/edgar/data/77476/000144530513000278/0001445305-13-000278-index.htm,https://www.sec.gov/Archives/edgar/data/77476/000144530513000278/pepsico201210-k.htm
2011-12-31,PEP,USD,0000077476,2012-02-27,2012-02-27 16:50:56,2011,FY,66504000000,31593000000,34911000000,0.5249458679,0,25145000000,0,25145000000,133000000,25278000000,56871000000,57000000,856000000,2775000000,12408000000,0.1865752436,9633000000,0.1448484302,-799000000,8834000000,0.1328341152,2372000000,6443000000,0.0968813906,4.12,4.03,1564000000,1597000000,https://www.sec.gov/Archives/edgar/data/77476/000119312512081822/0001193125-12-081822-index.htm,https://www.sec.gov/Archives/edgar/data/77476/000119312512081822/d269581d10k.htm
2010-12-25,PEP,USD,0000077476,2011-02-18,2011-02-18 16:57:00,2010,FY,57838000000,26575000000,31263000000,0.5405269892,488000000,22326000000,488000000,22814000000,-371000000,22931000000,49506000000,68000000,903000000,3112000000,11444000000,0.1978629966,8332000000,0.14405754,-100000000,8232000000,0.1423285729,1894000000,6320000000,0.1092707217,3.97,3.91,1590000000,1614000000,https://www.sec.gov/Archives/edgar/data/77476/000119312511040427/0001193125-11-040427-index.htm,https://www.sec.gov/Archives/edgar/data/77476/000119312511040427/d10k.htm
2009-12-26,PEP,USD,0000077476,2010-02-22,2010-02-22 16:19:59,2009,FY,43232000000,20099000000,23133000000,0.5350897483,414000000,14612000000,414000000,15026000000,-351000000,15089000000,35188000000,67000000,397000000,2034000000,10078000000,0.2331143597,8044000000,0.1860658771,35000000,8079000000,0.1868754626,2100000000,5946000000,0.1375370096,3.8,3.77,1557000000,1577000000,https://www.sec.gov/Archives/edgar/data/77476/000119312510036385/0001193125-10-036385-index.htm,https://www.sec.gov/Archives/edgar/data/77476/000119312510036385/d10k.htm
2008-12-27,PEP,USD,0000077476,2009-02-19,2009-02-19 16:40:23,2008,FY,43251000000,20351000000,22900000000,0.5294675268,364000000,15537000000,364000000,15901000000,-300000000,15965000000,36316000000,41000000,329000000,1958000000,8893000000,0.205613743,6935000000,0.1603431135,86000000,7021000000,0.1623315068,1879000000,5142000000,0.1188874246,3.31,3.21,1582000000,1602000000,https://www.sec.gov/Archives/edgar/data/77476/000119312509033126/0001193125-09-033126-index.htm,https://www.sec.gov/Archives/edgar/data/77476/000119312509033126/d10k.htm
