date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,preferredStock,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalEquity,totalLiabilitiesAndStockholdersEquity,minorityInterest,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt,link,finalLink,revenue,dividendsPaid,delta_RE,DFN
2022-03-19,PEP,USD,0000077476,2022-04-26,2022-04-25 17:51:15,2022,Q1,6561000000,343000000.0,6904000000.0,9424000000.0,4762000000.0,1252000000,22342000000.0,22017000000.0,18112000000.0,18100000000.0,36212000000,3595000000.0,4301000000,4495000000.0,70620000000.0,0.0,92962000000.0,20365000000.0,5459000000,0.0,0.0,0,25824000000.0,34590000000,0,5072000000,9156000000,48818000000,0.0,0.0,74642000000.0,0,23000000,67934000000.0,-15343000000,-34412000000.0,18202000000.0,18202000000.0,92962000000.0,118000000.0,92962000000.0,3938000000.0,40049000000.0,33488000000.0,https://www.sec.gov/Archives/edgar/data/77476/000007747622000020/0000077476-22-000020-index.htm,https://www.sec.gov/Archives/edgar/data/77476/000007747622000020/pep-20220319.htm,16200000000.0,,,0.0
2022-06-11,PEP,USD,0000077476,2022-07-12,2022-07-11 17:56:41,2022,Q2,5405000000,287000000.0,5692000000.0,10498000000.0,5287000000.0,1156000000,22633000000.0,22694000000.0,18547000000.0,17091000000.0,35638000000,3519000000.0,4345000000,4274000000.0,70470000000.0,0.0,93103000000.0,21191000000.0,6032000000,0.0,4345000000.0,-4345000000,27223000000.0,33247000000,4838000000,4838000000,4283000000,47206000000,0.0,0.0,74429000000.0,0,23000000,67763000000.0,-14416000000,-34817000000.0,18553000000.0,18553000000.0,93103000000.0,121000000.0,93103000000.0,3806000000.0,39279000000.0,33874000000.0,https://www.sec.gov/Archives/edgar/data/77476/000007747622000043/0000077476-22-000043-index.htm,https://www.sec.gov/Archives/edgar/data/77476/000007747622000043/pep-20220611.htm,20225000000.0,,,0.0
2022-09-03,PEP,USD,0000077476,2022-10-12,2022-10-11 17:56:11,2022,Q3,6415000000,327000000.0,6742000000.0,10739000000.0,5019000000.0,1043000000,23543000000.0,22800000000.0,18388000000.0,17152000000.0,35540000000,3224000000.0,4324000000,5030000000.0,70918000000.0,0.0,94461000000.0,22544000000.0,3109000000,0.0,4324000000.0,-4324000000,25653000000.0,36136000000,4724000000,4724000000,4089000000,49673000000,0.0,0.0,75326000000.0,0,23000000,68872000000.0,-14743000000,-35175000000.0,18977000000.0,18977000000.0,94461000000.0,158000000.0,94461000000.0,3551000000.0,39245000000.0,32830000000.0,https://www.sec.gov/Archives/edgar/data/77476/000007747622000052/0000077476-22-000052-index.htm,https://www.sec.gov/Archives/edgar/data/77476/000007747622000052/pep-20220903.htm,21971000000.0,,,0.0
2022-12-31,PEP,USD,0000077476,2023-02-09,2023-02-08 18:06:37,2022,Q4,4954000000,394000000.0,5348000000.0,10163000000.0,5222000000.0,806000000,21539000000.0,24291000000.0,18202000000.0,15586000000.0,33788000000,3073000000.0,4204000000,5292000000.0,70648000000.0,0.0,92187000000.0,23371000000.0,3414000000,0.0,-4390000000.0,4390000000,26785000000.0,35657000000,0,4133000000,8339000000,48129000000,0.0,483000000.0,74914000000.0,0,23000000,67800000000.0,-15302000000,-35372000000.0,17149000000.0,17149000000.0,92187000000.0,124000000.0,92187000000.0,3467000000.0,39071000000.0,34117000000.0,https://www.sec.gov/Archives/edgar/data/77476/000007747623000007/0000077476-23-000007-index.htm,https://www.sec.gov/Archives/edgar/data/77476/000007747623000007/pep-20221231.htm,27996000000.0,,,0.0
2023-03-25,PEP,USD,0000077476,2023-04-25,2023-04-24 17:57:25,2023,Q1,4770000000,434000000.0,5204000000.0,10469000000.0,5697000000.0,1057000000,22427000000.0,24228000000.0,18089000000.0,15523000000.0,33612000000,3123000000.0,4211000000,5441000000.0,70615000000.0,0.0,93042000000.0,21556000000.0,4281000000,0.0,-21556000000.0,21556000000,25837000000.0,37486000000,0,4039000000,8505000000,50030000000,0.0,0.0,75867000000.0,0,23000000,68142000000.0,-15601000000,-35522000000.0,17042000000.0,17042000000.0,93042000000.0,133000000.0,93042000000.0,3557000000.0,41767000000.0,36997000000.0,https://www.sec.gov/Archives/edgar/data/77476/000007747623000023/0000077476-23-000023-index.htm,https://www.sec.gov/Archives/edgar/data/77476/000007747623000023/pep-20230325.htm,17846000000.0,,,0.0
2023-06-11,,,,,,,Q2,4770000000,,,10503925837.470215,5211439687.327737,4770000000,25255365524.79795,20692283964.969193,,,33612000000,3098573575.180541,4211000000,4969615173.445836,66583472713.59557,,91838838238.39352,21422665358.950558,4281000000,,,21556000000,47259665358.95056,37486000000,0,4039000000,8505000000,50030000000,,,97289665358.95056,0,23000000,68571589514.4964,-15601000000,-36248286414.22603,,16745303100.27037,114034968459.22093,,,,,,,,20899632417.582417,-1592740108.9911518,429589514.4963999,-22196130220.827408
2023-09-03,,,,,,,Q3,4770000000,,,11145434618.804985,4940193556.012945,4770000000,25625628174.817932,21852445407.574066,,,33612000000,3128899056.1134024,4211000000,5148707018.997456,67953051482.68492,,93578679657.50285,21763801544.739655,4281000000,,,21556000000,47600801544.739655,37486000000,0,4039000000,8505000000,50030000000,,,97630801544.73965,0,23000000,68681140241.89357,-15601000000,-36531249870.690315,,16571890371.203255,114202691915.9429,,,,,,,,22980538736.263737,-1610614160.2654433,539140241.8935714,-20624012258.44005
2023-12-31,,,,,,,Q4,4770000000,,,10588353641.075624,5096046013.310167,4770000000,25224399654.38579,25573757723.90828,,,33612000000,3171860154.1016226,4211000000,5402420466.862249,71971038344.87215,,97195437999.25793,22247077807.940872,4281000000,,,21556000000,48084077807.94087,37486000000,0,4039000000,8505000000,50030000000,,,98114077807.94087,0,23000000,69064544024.93619,-15601000000,-36932114767.348045,,16554429257.588142,114668507065.52902,,,,,,,,29655215232.544975,-1635935732.904023,922544024.9361823,-17473069066.271088
2024-03-24,,,,,,,Q1,4770000000,,,10997547837.104074,5557268596.903465,4770000000,26094816434.007538,19526504465.60363,,,33612000000,3202185635.0344834,4211000000,5581512312.41387,66133202413.05199,,92228018847.05952,22588213993.72997,4281000000,,,21556000000,48425213993.729965,37486000000,0,4039000000,8505000000,50030000000,,,98455213993.72997,0,23000000,68382478008.89566,-15601000000,-37215078223.81233,,15589399785.083328,114044613778.8133,,,,,,,,18808649354.938828,-1653809784.1783144,240478008.89565682,-21816594931.75377
2024-06-10,,,,,,,Q2,4770000000,,,11080425104.155159,5483681314.8053665,4770000000,26104106418.960526,21309372914.517868,,,33612000000,3230345010.186426,4211000000,5747811883.28323,68110529807.98752,,94214636226.94804,22904983309.105556,4281000000,,,21556000000,48741983309.10556,37486000000,0,4039000000,8505000000,50030000000,,,98771983309.10556,0,23000000,68561699644.51678,-15601000000,-37477830004.81488,,15505869639.701897,114277852948.80746,,,,,,,,22006464835.164837,-1670407117.5044422,419699644.51677537,-20063216721.85942
2024-09-02,,,,,,,Q3,4770000000,,,11824983767.149704,5228777989.260277,4770000000,26593761756.40998,22633618074.003098,,,33612000000,3260670491.1192875,4211000000,5926903728.83485,69644192293.95723,,96237954050.36722,23246119494.894653,4281000000,,,21556000000,49083119494.89465,37486000000,0,4039000000,8505000000,50030000000,,,99113119494.89465,0,23000000,68689272287.2606,-15601000000,-37760793461.27917,,15350478825.98143,114463598320.87608,,,,,,,,24381677472.527473,-1688281168.7787337,547272287.2605939,-18225644270.508865
2024-12-30,,,,,,,Q4,4770000000,,,11368970505.914925,5467832839.295432,4770000000,26376803345.210358,26774554225.622475,,,33612000000,3303631589.1075077,4211000000,6180617176.699644,74081802991.42963,,100458606336.63998,23729395758.09587,4281000000,,,21556000000,49566395758.09587,37486000000,0,4039000000,8505000000,50030000000,,,99596395758.09587,0,23000000,69118764892.40405,-15601000000,-38161658357.9369,,15379106534.467155,114975502292.56302,,,,,,,,31809006020.710747,-1713602741.4173133,976764892.4040577,-14516895955.923035
